Ex,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8
260,0.144368566,0.109316734,0.061323546,0.122810805,0.063262556,0.055437977,0.054661297,0.017453386
265,0.127672572,0.105826458,0.056923597,0.108426425,0.059901492,0.048506657,0.054100125,0.021304803
270,0.118300042,0.102049303,0.053654884,0.092652178,0.0507231,0.045113633,0.05185135,0.024203757
280,0.120808005,0.095888883,0.051176118,0.06365547,0.027843098,0.054198838,0.046189021,0.01778258
285,0.125487111,0.092069719,0.051618687,0.056241141,0.019431991,0.061806549,0.040604537,0.010699548
290,0.130548271,0.087087585,0.053689932,0.052355389,0.013803781,0.067158124,0.032954996,0.005334524
295,0.141748903,0.083890166,0.061497057,0.048177063,0.009252541,0.067906595,0.02659928,0.00255874
300,0.155772157,0.082307549,0.073423687,0.045389556,0.005278367,0.063755081,0.020860768,0.000967572
305,0.171022695,0.081345736,0.087083207,0.041700276,0.002001338,0.055610115,0.016141392,0
310,0.186404996,0.081198781,0.101056004,0.035575334,0,0.044956473,0.012645413,3.97E-21
315,0.199567434,0.081238516,0.112085377,0.027507865,0,0.034355969,0.010040043,8.70E-21
320,0.209998614,0.081915522,0.119195429,0.019479013,0,0.024450807,0.008032033,9.20E-21
325,0.217089394,0.083005827,0.121371658,0.012461182,0,0.016137369,0.006246607,8.11E-21
330,0.220914847,0.084670669,0.119600744,0.006119881,0,0.009129656,0.004984351,1.46E-21
335,0.217796964,0.085040639,0.113566247,0.002284201,0.002975176,0.002785529,0.004074301,0
340,0.210390769,0.084776015,0.100646604,0,0.005462987,0,0.002934608,4.77E-21
345,0.197002447,0.083275527,0.083149826,0,0.009750651,0,0.001637982,0
350,0.182743829,0.081945994,0.06537915,2.84E-20,0.014072159,0,0.000514128,0
355,0.164161535,0.079936727,0.049345244,0,0.021606944,5.29E-20,6.10E-21,0
360,0.140047515,0.076169531,0.035295933,0,0.031059843,0,3.87E-21,0
365,0.111031339,0.069594603,0.024499493,0,0.041741137,0,1.52E-21,2.94E-05
370,0.084398985,0.063503383,0.016450626,3.78E-06,0.049524345,0,0,3.32E-05
375,0.061913614,0.059054541,0.010969875,0.000441891,0.05484217,0,8.12E-23,0
380,0.045431912,0.056243399,0.007237303,0,0.056997959,0,1.26E-19,0
385,0.032295086,0.054009946,0.00449718,0,0.055887825,0,0,0
390,0.021693948,0.051728703,0.00250799,0,0.052906626,0,0,0
395,0.013890889,0.05022013,0.00099076,0,0.048454984,0,0,0
400,0.007698055,0.048699277,0.000115278,0,0.043016521,0,0,0
405,0.002826037,0.046705755,0,0,0.037484581,2.45E-21,0,4.04E-21
410,0,0.045131111,1.17E-19,5.29E-21,0.031498587,6.87E-20,0,0
415,0,0.043854883,0,0,0.023996471,9.83E-20,0,0
420,0,0.042169888,0,0,0.017930087,9.84E-20,0,0
425,0,0.040322883,0,1.90E-21,0.013007138,8.59E-20,0,0
430,0,0.03811904,0,1.86E-19,0.008926358,7.54E-21,0,0
435,0,0.036103959,0,1.29E-19,0.005465567,4.72E-21,0,5.33E-06
440,0,0.033737467,0,2.81E-21,0.002854937,0,0,3.75E-05
445,7.25E-21,0.03119505,0,0.000148666,0.00051551,0,0,5.87E-05
450,2.71E-21,0.028210084,0,4.61E-23,2.76E-20,0,0,1.98E-05