Stream,FRE1,FRE3,FRE7,sdFRE1,sdFRE3,sdFRE7,nPLow,dPLow,nHigh,dPHigh,sdnPLow,sddPLow,sdnHigh,sddPHigh
Nansa,4,2.555555556,1.577777778,1.445997611,1.48562132,0.941200609,17.31111111,22.98469277,10.08888889,14.15348292,9.481614319,15.55307048,6.904617106,14.25763188
Deva,5.263157895,6.763157895,4.263157895,1.968456804,1.895003537,1.369241465,5.657894737,64.62495348,12,8.012247756,2.887777746,47.39808978,3.20472624,4.759857174
Sella,5.236842105,8.078947368,5.368421053,1.601253066,1.96429726,1.403105679,10.18421053,40.51179738,16.28947368,5.905276427,5.608175804,38.27725996,4.177856005,3.007732005
Nalon,4.487179487,5.615384615,6,1.393061658,2.085228558,2.051956704,8.051282051,83.50519742,18.20512821,5.604315653,5.803577472,113.6970525,7.459291229,2.580196588
Narcea,4.488888889,6.044444444,2.466666667,1.778945324,1.988095886,1.07871978,30.93333333,9.93222735,18.55555556,5.234428095,8.648173743,4.738005649,7.133644853,1.870097432
Duero,2.173913043,2.913043478,1.47826087,0.984062725,1.345465228,0.790256875,2.956521739,166.0983437,3.304347826,33.64251208,2.325320327,138.559135,2.583774241,21.16681464
Porma,1.717948718,2.487179487,1.153846154,0.944477521,1.072915234,0.431549323,3.512820513,137.6811143,3.153846154,40.59537076,3.007637601,116.2707099,3.289044506,26.97351236
Carrion,2.867924528,4.037735849,1.396226415,1.286583667,2.065860448,0.742646583,9.150943396,61.47116172,11.73584906,9.301070148,7.422409484,82.09293559,5.399967747,6.478604996
Aguilar,2.102564103,3.076923077,1.358974359,0.967766604,1.222263116,0.777552824,3.538461538,127.9337514,3.461538462,36.97380952,2.393479672,111.7960913,2.393479672,24.66689326
Luna,3.157894737,3.929824561,3.807017544,1.461279695,1.510199243,1.608444196,5.368421053,101.0262768,10.64912281,12.3944679,3.82020745,108.9166881,7.584032164,8.121133361
Arlanzon,2.973684211,3.052631579,1.868421053,1.60214117,1.800110634,1.094730687,5.657894737,110.8860462,4.842105263,19.28033721,4.154296479,128.9562458,3.183796101,15.85840541
Curueno,3.909090909,6.363636364,3.757575758,1.774183551,1.834021909,1.71446608,4.242424242,81.36220539,8.363636364,11.41815777,1.936980624,51.92455601,2.678831156,7.619622459
Omana,3.230769231,4.384615385,3,0.926808696,2.103111248,1.914854216,2.769230769,175.7269231,5.615384615,15.0017094,2.006400016,137.2686352,2.364263858,9.613815554
Bernesga,3.588235294,5.882352941,3.470588235,1.064120736,1.615640467,1.419403354,4.352941176,89.56785714,8.941176471,10.99140353,2.370157602,77.6646035,2.22122118,5.438140292
Esla,2.58974359,3.923076923,2.179487179,1.117279325,2.11988847,1.603807884,4.923076923,90.26545492,5.717948718,24.85799991,2.56888892,89.0562906,4.303907147,25.55483495
Cea,3.625,4.84375,4.09375,1.560603688,1.667708008,1.747982708,3.875,105.1391245,5.96875,16.07732658,2.446195202,85.55552211,2.494954586,11.75545652
Pisuerga,3.142857143,2.428571429,1.619047619,1.590148241,1.247855303,0.864649668,4.19047619,86.62997558,9.380952381,9.529229369,2.749891773,45.63062156,4.224644251,5.596533603
Ebro,2.846153846,2.128205128,2.538461538,2.046029036,0.922795729,1.210614325,5.153846154,115.0025481,3.230769231,40.97641803,4.44580501,120.5147395,2.454443215,25.9038511
Tiron,3.545454545,4.227272727,2.818181818,1.223860898,1.716358775,1.40191582,2.318181818,169.9037879,5.545454545,17.22190903,1.286796082,115.5636838,2.463587642,11.63755492
Ega,3.965517241,5.206896552,4.724137931,1.451175844,1.206509438,1.509412178,4.689655172,73.67240135,6.310344828,14.58288177,2.172941526,49.64272202,2.037215331,6.716296019