Stream,JMin,JMAx,sdJMIn,sdJMax,Pred
Nansa,246.2,244.1333333,71.61564075,84.56777809,0.539088356
Deva,258.0263158,218.9736842,22.86208574,67.91110519,0.551015042
Sella,259.1052632,202.9473684,34.08002464,75.47899202,0.491825146
Nalon,223,219.7435897,97.07349359,68.44464454,0.50657369
Narcea,248.4666667,215.5333333,63.60588881,55.78676937,0.553743883
Duero,194.6086957,181.3478261,125.1445488,119.4622834,0.850061529
Porma,217.4615385,111.2564103,136.2978252,134.3339746,0.535566023
Carrion,257.7358491,229.5283019,86.65940203,116.2971333,0.654310345
Aguilar,197.8717949,129.8717949,132.4301563,114.611513,0.73950117
Luna,188.4561404,181.5263158,124.2776371,145.4820933,0.602586742
Arlanzon,194.2631579,193.6842105,119.5488556,105.4606639,0.753177833
Curueno,245.5757576,192.969697,41.57901386,90.14172343,0.588328955
Omana,241.5384615,208.5384615,44.91402043,91.55200288,0.609722206
Bernesga,263.2352941,223.8823529,16.74637801,64.67986777,0.566932638
Esla,220.1794872,181.4871795,105.5895409,112.030041,0.47919717
Cea,243.15625,228.5,34.80833176,56.42923059,0.701920531
Pisuerga,263.2857143,229.4285714,105.1261827,98.47109801,0.469093702
Ebro,167.9230769,100.7179487,124.7463499,129.4085633,0.606872704
Tiron,257.8181818,197.2727273,73.20723121,117.0128938,0.586424538
Ega,251.7931034,229.8965517,19.76898601,46.81524845,0.771007747