site,campaign,groups,NPOC,BDOC,CDOC,HMWS_C,humic_like_substance_C,LMWS_C,HMWS_N,HS,SUVA_HS,SUVA_ges,
Aguilar,apr,MedAlt,3.73,3.393,3.371,0.305,2.679,0.386,0.03,0.129,4.5,3.5,3.37
Arlanzon,apr,TempAlt,1.84,2,1.965,0.118,1.509,0.338,0.03,0.067,3.75,3.1,1.965
Bernesga,apr,TempNat,0.7,0.761,0.75,"<0,1",0.597,0.116,0.01,0.02,4.6,4.2,#WERT!
Carrion,apr,MedAlt,0.45,0.602,0.606,"<0,1",0.468,0.1,"<0,01",0.02,3.9,3.8,#WERT!
Cea,apr,MedNat,1.17,1.286,1.25,"<0,1",0.989,0.198,"<0,01",0.03,3.7,3.4,#WERT!
Curueno,apr,TempNat,0.91,0.868,0.831,"<0,1",0.688,0.104,0.02,0.2,4.5,3.8,#WERT!
Deva,apr,TempNat,0.68,0.77,0.742,"<0,1",0.607,0.102,,,4.15,3.4,#WERT!
Duero,apr,MedAlt,4.22,4.714,4.71,0.226,3.785,0.697,0.03,0.1,3.9,3.4,4.708
Ebro,apr,MedAlt,4.99,4.77,4.725,0.215,3.977,0.532,0.049,0.179,4.5,3.8,4.724
Ega,apr,MedNat,3.56,3.886,3.97,0.128,3.465,0.378,0.02,0.14,4.3,3.9,3.971
Esla,apr,TempAlt,0.99,0.97,0.9,"<0,1",0.74,0.138,0.01,0.035,3.5,3.2,#WERT!
Luna,apr,MedAlt,0.86,1.058,1.059,"<0,1",0.834,0.152,0.02,0.033,4.28,3.7,#WERT!
Nalon,apr,TempAlt,0.76,0.86,0.895,"<0,1",0.764,0.1,"<0,01",0.03,4.9,4.4,#WERT!
Nansa,apr,TempAlt,2.38,2.529,2.543,0.152,2.158,0.233,0.1,0.06,5.2,4.4,2.543
Narcea,apr,TempAlt,0.97,1.08,1.031,"<0,1",0.796,0.185,"<0,01",0.037,4.66,3.9,#WERT!
Omana,apr,MedNat,1.11,1.302,1.295,"<0,1",1.051,0.169,"<0,01",0.04,4.5,4,#WERT!
Pisuerga,apr,MedAlt,1.55,1.655,1.632,"<0,1",1.324,0.218,0.016,0.044,4.3,3.7,#WERT!
Porma,apr,TempAlt,1.25,1.19,1.122,"<0,1",0.92,0.144,0.017,0.041,4.3,3.6,#WERT!
Sella,apr,TempNat,0.88,1.1,1.08,"<0,1",0.9,0.12,"<0,01",0.02,4.7,4,#WERT!
Tiron,apr,MedNat,0.86,1.06,0.992,"<0,1",0.834,0.133,"<0,01",0.017,3.66,3.2,#WERT!
Aguilar,aug,MedAlt,1.76925,1.7,1.77,"<0,1",1.2,0.45,0.01,0.06,3.9,4.1,#WERT!
Arlanzon,aug,TempAlt,1.4283,1.3,1.3,"<0,1",0.93,0.27,0.02,0.03,4.1,4,#WERT!
Bernesga,aug,TempNat,0.59565,0.6,0.55,"<0,1",0.38,"<0,1",0.01,"<0,01",4.1,5.7,#WERT!
Carrion,aug,MedAlt,0.4455,0.48,0.45,"<0,1",0.34,"<0,1","<0,01",0.1,3.6,5.9,#WERT!
Cea,aug,MedNat,1.0212,1.1,1.1,0.1,1.2,0.28,0.01,0.04,3.9,4.6,1.58
Curueno,aug,TempNat,0.6936,0.64,0.58,0.14,3.5,"<0,1",0.02,0.01,3.4,4.8,#WERT!
Deva,aug,TempNat,0.7659,0.72,0.68,"<0,1",0.48,0.11,0.01,0.02,3.3,4.8,#WERT!
Duero,aug,MedAlt,4.3515,4,3.8,0.13,3.2,0.5,0.02,0.08,3.9,3.9,3.83
Ebro,aug,MedAlt,2.79075,2.9,2.9,0.19,2.1,0.34,0.03,0.11,3.9,3.5,2.63
Ega,aug,MedNat,1.2705,1,0.97,"<0,1",0.69,0.195,0.02,0.02,2.5,3.8,#WERT!
Esla,aug,TempAlt,1.09875,0.81,0.8,"<0,1",0.64,0.12,"<0,01",0.03,4,5.3,#WERT!
Luna,aug,MedAlt,0.9888,0.91,0.86,"<0,1",0.68,0.13,"<0,01",0.03,3.9,4.9,#WERT!
Nalon,aug,TempAlt,1.34325,0.97,0.92,"<0,1",7.1,0.13,0.02,0.02,4,5.1,#WERT!
Nansa,aug,TempAlt,0.8991,0.82,0.72,"<0,1",0.6,"<0,1",0.02,"<0,01",4.1,5.8,#WERT!
Narcea,aug,TempAlt,1.30425,0.89,0.89,"<0,1",0.68,0.11,0.03,0.03,4.2,5.8,#WERT!
Omana,aug,MedNat,1.1835,1.1,1.1,0.1,0.81,0.14,0.03,0.04,4.8,5.3,1.05
Pisuerga,aug,MedAlt,1.64925,1.5,1.4,"<0,1",1.2,0.19,0.02,0.05,4.5,4.8,#WERT!
Porma,aug,TempAlt,1.20825,1,1.1,"<0,1",0.85,0.16,"<0,01",0.03,4.1,5.5,#WERT!
Sella,aug,TempNat,0.6249,0.43,0.41,"<0,1",0.29,"<0,1","<0,01","<0,1",2.8,5.9,#WERT!
Tiron,aug,MedNat,0.9213,0.68,0.66,"<0,1",0.47,0.15,"<0,01","<0,01",2.3,3.8,#WERT!
Aguilar,dec,MedAlt,1.56,1.539,1.56,0.31,1.021,0.228,0.035,0.064,2.51,2.4,1.559
Arlanzon,dec,TempAlt,1.09,1.208,1.208,0.134,0.878,0.196,0.021,0.03,2.39,2.6,1.208
Bernesga,dec,TempNat,1.15,1.148,1.136,"<0,1",0.944,0.155,0.036,0.03,4.1,3.9,#WERT!
Carrion,dec,MedAlt,0.4,0.417,0.408,"<0,1",0.293,"<0,1","<0,01",0.011,2.88,3.5,#WERT!
Cea,dec,MedNat,2.23,2.507,2.52,0.236,1.977,0.307,0.034,0.098,3.6,3.3,2.52
Curueno,dec,TempNat,1.86,1.199,1.223,"<0,1",1.004,0.173,0.032,0.035,3.8,3.7,#WERT!
Deva,dec,TempNat,1.61,1.248,1.259,"<0,1",1.084,0.142,0.061,0.045,3.3,3.3,#WERT!
Duero,dec,MedAlt,3.35,3.365,3.36,0.437,2.5,0.45,0.068,0.099,2.14,2.1,3.387
Ebro,dec,MedAlt,4.78,5.225,5.117,0.404,4.108,0.605,0.04,0.162,3.66,3.1,5.117
Ega,dec,MedNat,2.06,2.147,2.116,"<0,1",1.8,0.238,0.171,0.089,2.79,2.9,#WERT!
Esla,dec,TempAlt,0.97,1.09,1.07,"<0,1",0.85,0.147,0.01,0.04,2.72,3.4,#WERT!
Luna,dec,MedAlt,1.24,1.34,1.263,0.153,0.95,0.162,0.062,0.03,4.09,3,1.265
Nalon,dec,TempAlt,1.57,1.714,1.703,"<0,1",1.5,0.183,0.034,0.041,5.26,3.8,#WERT!
Nansa,dec,TempAlt,2.01,1.935,1.098,"<0,1",1.6,0.244,0.022,0.058,4.28,4,#WERT!
Narcea,dec,TempAlt,3.68,3.559,3.554,0.188,2.962,0.404,0.031,0.095,4.56,4,3.554
Omana,dec,MedNat,2.11,1.897,1.898,0.112,1.551,0.234,0.015,0.047,4.29,3.8,1.897
Pisuerga,dec,MedAlt,1.72,1.8,1.7,0.173,1.3,0.226,0.026,0.059,2.9,3,1.699
Porma,dec,TempAlt,1.83,1.78,1.8,0.136,1.468,0.207,0.027,0.066,3.5,3.5,1.811
Sella,dec,TempNat,1.11,0.907,0.896,"<0,1",0.79,"<0,1","<0,01",0.024,4.08,4.2,#WERT!
Tiron,dec,MedNat,1.14,1.28,1.248,"<0,1",1.06,0.152,"<0,01",0.025,3.5,3.4,#WERT!
Aguilar,feb,MedAlt,2.696666667,1.4,1.4,0.2,0.997,0.205,0.04,0.05,2.9,2.8,1.402
Arlanzon,feb,TempAlt,3.143333333,2.5,2.5,0.28,1.8,0.353,0.04,0.092,4.2,3.3,2.433
Bernesga,feb,TempNat,1.06,0.93,0.9,"<0,1",0.67,0.134,"<0,01",0.028,3.8,3.6,#WERT!
Carrion,feb,MedAlt,0.64,0.5,0.5,"<0,1",0.421,"<0,01",0.14,0.12,3.7,4.1,#WERT!
Cea,feb,MedNat,2.393333333,1.5,1.4,0.17,1.068,0.19,0.02,0.04,3.2,3,1.428
Curueno,feb,TempNat,0.96,0.9,0.9,"<0,1",0.73,0.138,0.014,0.023,3.9,3.8,#WERT!
Deva,feb,TempNat,1.69,1.4,1.3,"<0,1",1.1,0.17,"<0,01",0.047,3.7,3.3,#WERT!
Duero,feb,MedAlt,3.58,3.1,3,0.217,2.3,0.44,0.018,0.062,3.3,2.8,2.957
Ebro,feb,MedAlt,4.333333333,3.8,3.7,0.19,3.1,0.45,0.03,0.11,4.2,3.3,3.74
Ega,feb,MedNat,2.82,2.01,2.1,"<0,1",1.8,0.21,"<0,01",0.075,3.3,3.4,#WERT!
Esla,feb,TempAlt,1.115,0.97,0.95,"<0,1",0.77,0.12,0.01,0.04,3.4,3.5,#WERT!
Luna,feb,MedAlt,1.07,1.1,1.1,"<0,1",0.89,0.15,"<0,01",0.036,4,3.5,#WERT!
Nalon,feb,TempAlt,0.983333333,0.9,0.8,"<0,1",0.7,"<0,1","<0,01","<0,01",4.8,4.1,#WERT!
Nansa,feb,TempAlt,1.6,1.3,1.2,"<0,1",1.056,0.156,"<0,01",0.03,4.5,4.1,#WERT!
Narcea,feb,TempAlt,2.62,1.8,1.8,"<0,1",1.524,0.205,"<0,01",0.04,4.5,4.3,#WERT!
Omana,feb,MedNat,2.3,1.5,1.5,0.12,1.2,0.19,0.01,0.053,3.8,3.8,1.51
Pisuerga,feb,MedAlt,1.855,1.5,1.5,"<0,1",1.1,0.235,0.039,0.053,3.6,3.3,#WERT!
Porma,feb,TempAlt,2.445,1.7,1.7,"<0,1",1.4,0.235,"<0,01",0.043,4.1,3.7,#WERT!
Sella,feb,TempNat,0.813333333,0.7,0.72,"<0,1",0.6,"<0,1","<0,02",0.02,4,4.4,#WERT!
Tiron,feb,MedNat,1.316666667,1.1,1.2,"<0,1",0.97,0.16,"<0,01",0.33,2.8,3.1,#WERT!
Aguilar,may,MedAlt,2.955333333,2.1,1.9,0.22,1.45,0.25,0.027,0.092,3.5,3.8,1.92
Arlanzon,may,TempAlt,1.7615,1.7,1.5,"<0,1",1.1,0.26,0.013,0.03,3.98,4,#WERT!
Bernesga,may,TempNat,1.603166667,1.4,1.3,"<0,1",1.1,0.16,"<0,01",0.05,5.2,5.5,#WERT!
Carrion,may,MedAlt,0.745,0.5,0.51,"<0,1",0.4,"<0,1","<0,01",0.01,3.2,6.3,#WERT!
Cea,may,MedNat,1.642666667,1.36,1.3,"<0,1",1.1,0.19,0.011,0.056,3.8,4.4,#WERT!
Curueno,may,TempNat,2.061666667,1.8,1.8,0.1,1.5,0.17,"<0,01",0.05,5,5.3,1.77
Deva,may,TempNat,0.765833333,0.9,0.8,"<0,1",0.65,0.13,0.011,0.032,4,5,#WERT!
Duero,may,MedAlt,5.355666667,3.9,3.7,0.2,2.9,0.5,0.025,0.07,3.8,4,3.6
Ebro,may,MedAlt,3.817833333,2.95,2.8,0.194,2.2,0.34,0.029,0.1,1.1,4.1,2.734
Ega,may,MedNat,2.241166667,1.9,1.8,"<0,1",1.5,0.23,"<0,06",0.05,4,3.9,#WERT!
Esla,may,TempAlt,0.7945,0.9,0.8,"<0,1",0.67,0.12,"<0,01",0.029,4.2,4.9,#WERT!
Luna,may,MedAlt,1.167833333,1.2,1.1,"<0,1",0.9,0.15,"<0,01",0.05,4,4.8,#WERT!
Nalon,may,TempAlt,1.176,1.1,1.1,"<0,1",0.96,0.14,"<0,01",0.033,4.9,5.8,#WERT!
Nansa,may,TempAlt,2.329,2,2.1,0.1,1.6,0.33,0.023,0.049,5.2,5.2,2.03
Narcea,may,TempAlt,1.894666667,1.5,1.5,"<0,1",1.2,0.177,0.01,0.05,5.3,5.4,#WERT!
Omana,may,MedNat,1.680166667,1.5,1.5,"<0,1",1.2,0.23,0.01,0.07,5.2,5.5,#WERT!
Pisuerga,may,MedAlt,1.482666667,1.4,1.3,"<0,1",1,0.21,"<0,01",0.045,4.7,4.7,#WERT!
Porma,may,TempAlt,1.1475,1.2,1.1,"<0,1",0.9,0.165,"<0,01",0.03,4.7,4.8,#WERT!
Sella,may,TempNat,0.667166667,0.9,0.8,"<0,1",0.68,0.11,"<0,01",0.023,4.5,5.4,#WERT!
Tiron,may,MedNat,0.767333333,0.88,0.8,"<0,1",0.6,0.13,"<0,01",0.014,3.5,3.9,#WERT!
Aguilar,oct,MedAlt,2.746666667,1.786,1.7,0.52,1,0.25,0.04,0.05,2.8,2.3,1.77
Arlanzon,oct,TempAlt,1.4,1.202,1.2,0.16,0.8,0.22,0.03,0.03,2.5,2.7,1.18
Bernesga,oct,TempNat,0.866666667,0.619,0.7,0.14,0.4,0.12,0.01,0.02,3.6,3.6,0.66
Carrion,oct,MedAlt,0.453333333,0.411,0.4,"<0,1",0.3,"<0,1","<0,01","<0,01",2.5,3.6,#WERT!
Cea,oct,MedNat,1.646666667,1.139,1.1,0.17,0.7,0.23,0.03,0.04,2.9,3.1,1.1
Curueno,oct,TempNat,0.596666667,0.46,0.5,0.12,0.3,"<0,1",0.01,0.01,2.8,3.8,#WERT!
Deva,oct,TempNat,1.043333333,0.745,0.7,"<0,1",0.5,"<0,1",0.01,0.03,3,3.6,#WERT!
Duero,oct,MedAlt,4.016666667,3.436,3.4,0.47,2.4,0.49,0.05,0.09,2.7,2.2,3.36
Ebro,oct,MedAlt,3.726666667,3.162,3.1,0.39,2.3,0.39,0.06,0.14,3.2,2.8,3.08
Ega,oct,MedNat,1.806666667,1.301,1.1,0.15,0.8,0.18,0.03,0.04,3.3,3,1.13
Esla,oct,TempAlt,1.173333333,0.928,0.9,"<0,1",0.7,"<0,1",0.02,0.04,3,3.3,#WERT!
Luna,oct,MedAlt,1.27,0.983,0.9,0.2,0.6,0.12,0.02,0.04,3.5,3,0.92
Nalon,oct,TempAlt,1.226666667,0.86,0.9,0.14,0.6,"<0,1",0.02,0.03,3.2,3.4,#WERT!
Nansa,oct,TempAlt,2.166666667,1.7,1.6,"<0,1",1.4,0.16,0.02,0.06,5,5.1,#WERT!
Narcea,oct,TempAlt,1.166666667,0.985,1,0.17,0.7,0.14,0.02,0.04,3.7,3.3,1.01
Omana,oct,MedNat,0.913333333,0.734,0.7,0.11,0.5,0.13,0.01,0.02,3.8,3.9,0.74
Pisuerga,oct,MedAlt,2.19,1.724,1.7,0.3,1.2,0.23,0.04,0.06,2.8,3,1.73
Porma,oct,TempAlt,1.236666667,1.02,1,"<0,1",0.8,0.13,0.02,0.04,3.5,3.6,#WERT!
Sella,oct,TempNat,0.826666667,0.663,0.6,0.1,0.4,0.1,0.02,0.01,2.9,3.2,0.6
Tiron,oct,MedNat,0.616666667,0.471,0.5,"<0,1",0.3,0.12,"<0,01","<0,1",2,2.6,#WERT!
